id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
266192,Wingspan,2019,26,7.89956,8.04813,93047,0,,,,2.0,,36.0,,
244521,The Quacks of Quedlinburg,2018,65,7.68221,7.82297,49597,0,,,,7.0,,,,
284083,The Crew: The Quest for Planet Nine,2019,71,7.6619,7.80422,41570,0,,,,8.0,,,,
68448,7 Wonders,2010,91,7.5736,7.68293,104612,0,,,,16.0,,101.0,,
148949,Istanbul,2014,175,7.38681,7.54313,31363,0,,,,27.0,,143.0,,
300531,Paleo,2020,216,7.30866,7.69097,12318,0,,,,,,165.0,52.0,
104006,Village,2011,221,7.30231,7.49264,23321,0,,,,,,168.0,,
176494,Isle of Skye: From Chieftain to King,2015,265,7.23314,7.39869,25486,0,,,,58.0,,210.0,,
127398,Legends of Andor,2012,588,6.89268,7.11499,19288,0,,,,,,,175.0,
172308,Broom Service,2015,623,6.86575,7.16725,10435,0,,,,157.0,,411.0,,
328479,Living Forest,2021,723,6.7792,7.27059,6132,0,,,,185.0,,,,
203417,Exit: The Game â€“ The Secret Lab,2016,860,6.6993,7.06041,7004,0,,,,231.0,,,188.0,
359970,Challengers!,2022,987,6.61966,7.12101,5148,0,,,,265.0,55.0,,,
